record_id,species_scientific,species_common,communication_type,frequency_range_hz,vocabulary_size_estimated,syntax_complexity_score,social_structure,learning_capability,alien_analog_score,geographic_region,study_institution,communication_modality,inter_species_transfer,xenolinguistics_relevance_score
XL-0154,Elephas maximus,Asian Elephant,electrical,708.09-19648.71,4066,4.92,eusocial,Innate,3.25,Amazon Rainforest,Woods Hole Oceanographic,bioluminescent,Yes,6.25
XL-0155,Cacatua sulphurea,Yellow-crested Cockatoo,chemical,587.58-5474.96,4001,4.9,eusocial,Learned,6.37,Arctic,Max Planck Evolutionary Anthropology,vibrational,Yes,6.47
XL-0156,Corvus corax,Common Raven,multimodal,199.73-10498.99,531,5.04,matriarchal,Mixed,3.28,South Asia,Woods Hole Oceanographic,vibrational,No,4.58
XL-0157,Tursiops truncatus,Bottlenose Dolphin,chemical,179.91-9605.4,2935,3.21,patriarchal,Mixed,4.34,Sub-Saharan Africa,Max Planck Evolutionary Anthropology,vocal,Yes,3.87
XL-0158,Physeter macrocephalus,Sperm Whale,tactile,716.81-6994.83,2639,9.09,pair_bond,Innate,4.47,Amazon Rainforest,Stanford HAI,gestural,Yes,6.05
XL-0159,Myrmecocystus mimicus,Honeypot Ant,multimodal,607.91-26237.02,617,6.17,solitary,Learned,7.14,South Asia,Max Planck Evolutionary Anthropology,chemical,Yes,2.77
XL-0160,Cacatua sulphurea,Yellow-crested Cockatoo,visual_chromatic,493.94-1946.22,3455,2.07,eusocial,Innate,6.41,South Asia,Smithsonian NMNH,vibrational,Yes,3.57
XL-0161,Megaptera novaeangliae,Humpback Whale,acoustic,783.31-17522.74,3787,3.56,eusocial,Innate,9.06,Pacific Ocean,Max Planck Evolutionary Anthropology,electrical,Yes,1.63
XL-0162,Tursiops truncatus,Bottlenose Dolphin,visual_chromatic,829.85-12925.63,2255,3.85,fission_fusion,Learned,1.72,Mediterranean,MIT CSAIL,vibrational,Yes,4.54
XL-0163,Myrmecocystus mimicus,Honeypot Ant,multimodal,983.97-15341.4,999,8.59,pair_bond,Innate,1.26,Pacific Ocean,Project CETI / CUNY,gestural,Yes,9.94
XL-0164,Zalophus californianus,California Sea Lion,chemical,687.6-13378.82,726,2.72,fission_fusion,Mixed,9.91,Pacific Ocean,Woods Hole Oceanographic,vocal,Yes,1.43
XL-0165,Orcinus orca,Killer Whale,tactile,75.05-9692.66,3114,3.43,patriarchal,Innate,6.25,Atlantic Ocean,SETI Institute,chemical,Yes,7.78
XL-0166,Papio hamadryas,Hamadryas Baboon,multimodal,850.16-26829.45,3665,7.01,pair_bond,Mixed,3.16,Australia,MIT CSAIL,chemical,No,7.95
XL-0167,Apis mellifera,Honey Bee,visual_chromatic,225.84-7950.01,683,4.18,patriarchal,Mixed,6.82,Amazon Rainforest,Cambridge Zoology Lab,vocal,No,1.54
XL-0168,Physeter macrocephalus,Sperm Whale,electrical,670.5-14300.05,1544,5.39,fission_fusion,Innate,8.33,Mediterranean,Woods Hole Oceanographic,electrical,No,6.9
XL-0169,Zalophus californianus,California Sea Lion,chemical,504.52-27022.74,2983,4.47,eusocial,Mixed,5.62,South Asia,Smithsonian NMNH,vocal,No,4.81
XL-0170,Megaptera novaeangliae,Humpback Whale,multimodal,307.15-25545.28,841,2.33,matriarchal,Mixed,1.99,Pacific Ocean,MIT CSAIL,gestural,No,1.26
XL-0171,Megaptera novaeangliae,Humpback Whale,acoustic,530.89-10802.44,4513,1.76,eusocial,Innate,2.36,South Asia,Stanford HAI,chemical,Yes,4.97
XL-0172,Elephas maximus,Asian Elephant,multimodal,97.82-18942.99,3466,2.75,patriarchal,Learned,2.59,Arctic,Stanford HAI,vibrational,No,5.67
XL-0173,Tursiops truncatus,Bottlenose Dolphin,acoustic,681.16-19460.53,1803,2.04,matriarchal,Mixed,3.4,Atlantic Ocean,Stanford HAI,vocal,No,3.04
XL-0174,Balaenoptera musculus,Blue Whale,electrical,699.52-12491.29,834,2.98,solitary,Learned,5.46,Sub-Saharan Africa,Smithsonian NMNH,chemical,No,7.35
XL-0175,Orcinus orca,Killer Whale,tactile,733.88-3557.49,3910,7.65,solitary,Innate,2.53,Atlantic Ocean,SETI Institute,gestural,No,9.1
XL-0176,Pan troglodytes,Chimpanzee,electrical,962.24-20310.55,2741,1.19,fission_fusion,Innate,2.54,Pacific Ocean,Max Planck Evolutionary Anthropology,bioluminescent,Yes,5.39
XL-0177,Psittacus erithacus,African Grey Parrot,acoustic,472.57-1878.17,4652,7.12,fission_fusion,Innate,5.73,Sub-Saharan Africa,SETI Institute,vocal,Yes,3.74
XL-0178,Myrmecocystus mimicus,Honeypot Ant,visual_chromatic,335.68-14615.81,4475,3.32,eusocial,Learned,4.28,Pacific Ocean,Max Planck Evolutionary Anthropology,chemical,No,9.02
XL-0179,Cacatua sulphurea,Yellow-crested Cockatoo,tactile,663.94-25766.13,3972,2.01,solitary,Mixed,7.55,Pacific Ocean,SETI Institute,bioluminescent,Yes,6.93
XL-0180,Pan troglodytes,Chimpanzee,tactile,357.2-1350.35,3533,4.23,solitary,Innate,2.74,South Asia,Cambridge Zoology Lab,chemical,No,9.89
XL-0181,Papio hamadryas,Hamadryas Baboon,multimodal,526.91-8294.35,2862,8.99,eusocial,Mixed,4.76,Arctic,Woods Hole Oceanographic,gestural,Yes,6.22
XL-0182,Myrmecocystus mimicus,Honeypot Ant,electrical,343.28-18140.7,3732,6.1,fission_fusion,Learned,1.99,Pacific Ocean,MIT CSAIL,electrical,Yes,5.2
XL-0183,Pan troglodytes,Chimpanzee,tactile,523.19-8997.88,1337,3.73,fission_fusion,Innate,8.2,Pacific Ocean,MIT CSAIL,vocal,Yes,3.55
XL-0184,Balaenoptera musculus,Blue Whale,acoustic,123.44-14337.23,3530,4.17,matriarchal,Innate,3.26,Mediterranean,Woods Hole Oceanographic,vibrational,Yes,9.58
XL-0185,Myrmecocystus mimicus,Honeypot Ant,chemical,270.68-29152.6,3544,6.27,matriarchal,Learned,2.97,Australia,Max Planck Evolutionary Anthropology,gestural,No,4.8
XL-0186,Papio hamadryas,Hamadryas Baboon,visual_chromatic,98.15-7748.59,4895,3.8,pair_bond,Learned,7.11,Mediterranean,SETI Institute,electrical,Yes,3.25
XL-0187,Corvus corax,Common Raven,acoustic,554.29-9354.99,2440,6.1,solitary,Learned,5.91,South Asia,Cornell Lab of Ornithology,vocal,Yes,5.74
XL-0188,Myrmecocystus mimicus,Honeypot Ant,multimodal,313.27-27431.3,2934,5.22,eusocial,Learned,4.78,South Asia,MIT CSAIL,vocal,Yes,9.62
XL-0189,Corvus corax,Common Raven,visual_chromatic,88.44-4251.36,1992,6.22,fission_fusion,Innate,6.59,Arctic,Project CETI / CUNY,bioluminescent,Yes,4.63
XL-0190,Physeter macrocephalus,Sperm Whale,tactile,462.81-22613.38,3775,8.55,matriarchal,Innate,3.43,Atlantic Ocean,Max Planck Evolutionary Anthropology,vibrational,Yes,8.4
XL-0191,Balaenoptera musculus,Blue Whale,acoustic,481.47-10156.26,999,7.66,solitary,Mixed,7.65,Pacific Ocean,Smithsonian NMNH,vibrational,Yes,6.06
XL-0192,Apis mellifera,Honey Bee,multimodal,136.41-26103.42,1272,3.71,fission_fusion,Mixed,9.9,Pacific Ocean,MIT CSAIL,vibrational,Yes,2.03
XL-0193,Physeter macrocephalus,Sperm Whale,tactile,153.03-25682.11,798,3.22,matriarchal,Learned,1.22,Australia,Cornell Lab of Ornithology,vocal,Yes,3.7
XL-0194,Apis mellifera,Honey Bee,tactile,982.7-24788.53,2137,8.4,solitary,Learned,8.73,Atlantic Ocean,Cornell Lab of Ornithology,gestural,Yes,2.66
XL-0195,Zalophus californianus,California Sea Lion,tactile,744.6-7800.31,4483,2.8,eusocial,Learned,3.61,Atlantic Ocean,MIT CSAIL,chemical,No,4.52
XL-0196,Myrmecocystus mimicus,Honeypot Ant,electrical,799.86-14308.41,1218,1.25,eusocial,Innate,6.08,Pacific Ocean,Woods Hole Oceanographic,vocal,No,1.38
XL-0197,Papio hamadryas,Hamadryas Baboon,multimodal,354.73-4480.6,3759,3.49,patriarchal,Learned,5.51,Amazon Rainforest,Max Planck Evolutionary Anthropology,electrical,No,5.62
XL-0198,Pan troglodytes,Chimpanzee,multimodal,655.92-10924.88,4618,4.05,solitary,Innate,3.51,Arctic,Cornell Lab of Ornithology,vocal,No,4.39
XL-0199,Apis mellifera,Honey Bee,multimodal,605.85-5918.67,4158,7.98,pair_bond,Learned,2.16,Mediterranean,Max Planck Evolutionary Anthropology,vibrational,No,1.61
XL-0200,Physeter macrocephalus,Sperm Whale,acoustic,852.03-5552.32,875,5.49,solitary,Learned,3.91,Amazon Rainforest,Smithsonian NMNH,vocal,Yes,7.55
